product_name,energy-kcal_100g,proteins_100g,carbohydrates_100g,sugars_100g,fat_100g,saturated-fat_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,trans-fat_100g,fiber_100g,keto_score
Olive Oil,850,0,0,0,100,13.571,70,10,,0,5
Avocado Oil,885.71400000000006,0,0,0,100,11.429,70.713999999999999,13.571,,0,5
Extra Virgin Olive Oil,850,0,0,0,100,13.571,70,10,,0,5
Sesame Oil,857.14300000000003,0,0,0,100,13.571,38.570999999999998,40.713999999999999,,0,5
Flaxseed Oil,857.14300000000003,0,0,0,100,7.1429999999999998,61.429000000000002,27.143000000000001,0.71399999999999997,0,5
Coconut Oil,864.28599999999994,0,0,0,92.856999999999999,78.570999999999998,6.4290000000000003,1.429,,0,4
Butter,728.57100000000003,0.71399999999999997,0,0,85.713999999999999,52.143000000000001,21.428999999999998,2.8570000000000002,3.5710000000000002,0,4
Ghee,861.53800000000001,0,0,0,100,60.768999999999998,28.462,3.8460000000000001,,0,4
Lard,884.61500000000001,0,0,0,100,38.462000000000003,44.615000000000002,10.769,,0,4
Suet,864.28599999999994,1.429,0,0,96.429000000000002,53.570999999999998,31.786000000000001,3.214,,0,4
Marrow,800,3.8460000000000001,0,0,84.614999999999995,43.076999999999998,36.923000000000002,3.8460000000000001,,0,4
Soybean Oil,742.85699999999997,0,0,0,100,14.286,10.714,44.286000000000001,,0,3
Corn Oil,871.42899999999997,0,0,0,100,12.856999999999999,27.143000000000001,52.856999999999999,,0,3
Vegetable Oil,857.14300000000003,0,0,0,100,7.1429999999999998,22.143000000000001,63.570999999999998,2.1429999999999998,0,3
Canola Oil,885.71400000000006,0,0,0,100,7.1429999999999998,63.570999999999998,27.856999999999999,0.71399999999999997,0,3
Rapeseed Oil,885.71400000000006,0,0,0,100,7.1429999999999998,63.570999999999998,27.856999999999999,0.71399999999999997,0,3
Sunflower Oil,885.71400000000006,0,0,0,100,10,85.713999999999999,3.5710000000000002,,0,3
Shortening,884.61500000000001,0,0,0,100,40,43.845999999999997,10.769,,0,3
Margarine,728.57100000000003,0,0.71399999999999997,0,78.570999999999998,15.714,39.286000000000001,25,15,0,2
Salmon,206.167,22.026,0,0,12.335000000000001,2.379,4.1849999999999996,4.4050000000000002,,0,5
Sardines In Oil,208.333,25,0,0,11.667,1.667,4.1669999999999998,5,,0,5
Mackerel,262.5,23.864000000000001,0,0,18.181999999999999,4.2050000000000001,7.0449999999999999,4.3179999999999996,,0,5
Herring,202.797,23.077000000000002,0,0,11.888,2.5870000000000002,4.7549999999999999,2.7269999999999999,,0,5
Eel,239.286,23.928999999999998,0,0,15,3.214,9.2859999999999996,1.071,,0,5
Chicken Thigh,213.846,23.846,0.076999999999999999,0,13.846,4.1539999999999999,6.3849999999999998,3.3079999999999998,0.076999999999999999,0,5
Duck Leg,217.39099999999999,27.173999999999999,0,0,10.869999999999999,2.9350000000000001,5.6520000000000001,1.8480000000000001,,0,5
Bacon,460,34.286000000000001,1.714,0,34.286000000000001,11.714,15.429,6,0.28599999999999998,0,5
Pork Shoulder,291.85199999999998,22.963000000000001,0,0,21.481000000000002,8.1479999999999997,9.6300000000000008,2.0739999999999998,,0,5
T Bone Steak,289.41199999999998,24.706,0,0,20,8.3529999999999998,9.1760000000000002,0.94099999999999995,1.294,0,5
Ribeye Steak,270.58800000000002,24.706,0,0,18.824000000000002,8.4710000000000001,9.1760000000000002,0.94099999999999995,,0,5
Oxtail,242.917,27.082999999999998,0,0,14.167,5.4169999999999998,5.8330000000000002,0.54200000000000004,,0,5
Ground Lamb,283.529,24.706,0,0,20,8.1180000000000003,8.3529999999999998,1.4119999999999999,,0,5
Lamb Leg,257.64699999999999,25.882000000000001,0,0,16.471,6.9409999999999998,6.9409999999999998,1.1759999999999999,,0,5
Egg,144,12.6,0.80000000000000004,0.40000000000000002,9.5999999999999996,3.2000000000000002,3.6000000000000001,2,0,0,5
Pork Sausage,326.08699999999999,18.478000000000002,1.522,1.087,28.260999999999999,8.9130000000000003,11.522,5.2169999999999996,0.217,0,4
Brisket,289.41199999999998,28.234999999999999,0,0,18.824000000000002,7.2939999999999996,7.8819999999999997,0.70599999999999996,,0,4
Pork Loin,191.76499999999999,25.882000000000001,0,0,8.8239999999999998,2.8239999999999998,3.5289999999999999,0.94099999999999995,0.11799999999999999,0,4
Cod,105,22.777999999999999,0,0,0.83299999999999996,0.16700000000000001,0.111,0.27800000000000002,,0,4
Tuna,130.58799999999999,29.411999999999999,0,0,0.58799999999999997,0.23499999999999999,0.11799999999999999,0.11799999999999999,0,0,4
Turkey Breast,114.11799999999999,23.529,0,0,2.3530000000000002,0.35299999999999998,0.58799999999999997,0.58799999999999997,0,0,4
Chicken Breast,165,30.832999999999998,0,0,3.5830000000000002,1,1.25,0.75,,0,4
Shrimp,71.667000000000002,13.333,1.667,0,1.667,0,0,0,0,0,4
Crab,83.051000000000002,17.797000000000001,0,0,0.76300000000000001,0.16900000000000001,0.085000000000000006,0.254,0,0,4
Seabass,96.459999999999994,18.584,0,0,1.77,0.442,,,0,0,4
Liver,165.90899999999999,25,0.90900000000000003,0,6.5910000000000002,2.0449999999999999,1.3640000000000001,2.0449999999999999,0,0,4
Octopus,82.352999999999994,15.294,2.2349999999999999,0,1.0589999999999999,0.23499999999999999,0.11700000000000001,0.23499999999999999,,0,3
Oyster,164,18.800000000000001,10,0,4.7999999999999998,1.2,0.80000000000000004,2,,0,3
Mussels,87.5,11.875,3.75,0,2.5,0.625,0.625,0.625,,0,3
Clams,148.23500000000001,25.882000000000001,5.1760000000000002,0,2,0.23499999999999999,0.11799999999999999,0.58799999999999997,0,0,3
Squid,92.856999999999999,15.714,3.214,0,1.429,0.35699999999999998,0,0.35699999999999998,,0,3
Blue Cheese,357.14299999999997,21.786000000000001,2.5,0.35699999999999998,28.928999999999998,18.928999999999998,7.8570000000000002,0.71399999999999997,,0,4
Brie,339.286,21.071000000000002,0.35699999999999998,0.35699999999999998,27.856999999999999,17.5,8.2140000000000004,0.71399999999999997,,0,4
Camembert,303.57100000000003,20,0.35699999999999998,0.35699999999999998,24.643000000000001,15.356999999999999,7.1429999999999998,0.71399999999999997,,0,4
Cheddar,410.714,23.213999999999999,3.214,0.35699999999999998,33.570999999999998,18.928999999999998,9.2859999999999996,1.429,1.071,0,4
Manchego,457.14299999999997,31.071000000000002,2.1429999999999998,2.1429999999999998,35.713999999999999,25,8.2140000000000004,0.71399999999999997,,0,4
Muenster,371.42899999999997,23.571000000000002,1.071,1.071,30.356999999999999,19.286000000000001,8.9290000000000003,0.71399999999999997,,0,4
Provolone,357.14299999999997,26.071000000000002,2.1429999999999998,0.71399999999999997,26.786000000000001,17.143000000000001,7.5,0.71399999999999997,,0,4
Romano,392.85700000000003,32.143000000000001,3.5710000000000002,0.71399999999999997,27.143000000000001,17.5,7.8570000000000002,0.71399999999999997,,0,4
Swiss Cheese,392.59300000000002,26.852,1.4810000000000001,0,30.556000000000001,18.518999999999998,8.0559999999999992,1.296,1.0189999999999999,0,4
Chevre,267.85700000000003,18.928999999999998,0,0,21.428999999999998,14.643000000000001,5,0.35699999999999998,,0,3
Cottage Cheese,98.165000000000006,11.009,3.3940000000000001,2.661,4.3120000000000003,1.7430000000000001,0.73399999999999999,0.091999999999999998,,0,3
Cream Cheese,351.72399999999999,6.2069999999999999,5.5170000000000003,3.7930000000000001,34.482999999999997,20.344999999999999,8.9659999999999993,1.379,,0,3
Feta,267.85700000000003,14.286,4.2859999999999996,4.2859999999999996,21.428999999999998,15,4.6429999999999998,0.71399999999999997,,0,3
Fresh Mozzarella,246.429,18.213999999999999,1.786,0.71399999999999997,18.213999999999999,10.714,5.3570000000000002,0.71399999999999997,0,0,3
Sour Cream,200,2.5,5,3.3340000000000001,19.167000000000002,10,5,0.83399999999999996,0.83399999999999996,0,3
Heavy Cream,336.66699999999997,2.6669999999999998,2.6669999999999998,2.6669999999999998,36.667000000000002,23,9,1.667,1.3340000000000001,0,3
Unsweetened Soy Milk,13.58,1.4399999999999999,0.247,0.247,0.69999999999999996,0.124,,,0,0.45300000000000001,3
Unsweetened Almond Milk,12.5,0.45800000000000002,0.45800000000000002,0.083000000000000004,1.083,0.083000000000000004,,,0,0.29299999999999998,3
Unsweetened Coconut Milk,19.068999999999999,0.21199999999999999,0.254,0,2.0339999999999998,1.8220000000000001,,,0,0,3
Yogurt,62.941000000000003,5.2350000000000003,7.0590000000000002,7.0590000000000002,1.5289999999999999,1,0.41199999999999998,0.58899999999999997,,0,3
Milk,61.066000000000003,3.1560000000000001,4.9180000000000001,4.9180000000000001,3.238,1.885,0.81999999999999995,0.20499999999999999,,0,2
2% Milk,50,3.3199999999999998,4.9180000000000001,4.9180000000000001,1.9670000000000001,1.27,0.57399999999999995,0.082000000000000003,0.082000000000000003,0,2
Skim Milk,33.878,3.3879999999999999,7.8979999999999997,7.8979999999999997,0.082000000000000003,0.041000000000000002,0.041000000000000002,0,,0,2
Low Fat Yogurt,98.823999999999998,4,18.824000000000002,18.824000000000002,1.1759999999999999,0.76500000000000001,0.29399999999999998,0.58899999999999997,,0,2
Oat Milk,53.942,0.82999999999999996,11.411,7.8840000000000003,0.41499999999999998,0.083000000000000004,0.124,0.124,0,0.622,1
Rice Milk,47.082999999999998,0.29199999999999998,8.875,5.4169999999999998,0.95799999999999996,0,0.625,0.33400000000000002,0,0.29199999999999998,1
Coffee Creamer,133.334,0.66700000000000004,11.334,,10,9.3339999999999996,0,0,,0,1
Lettuce,17.021000000000001,1.2769999999999999,1.1699999999999999,1.1699999999999999,0.31900000000000001,0,0,0.106,0,2.1280000000000001,5
Spinach,22.777999999999999,2.944,1.389,0.44400000000000001,0.27800000000000002,0.056000000000000001,0,0.111,0,2.3889999999999998,5
Arugula,25,3,2,2,1,0,0,0,0,2,5
Escarole,19.334,1.1339999999999999,0.26700000000000002,0.20000000000000001,0.20000000000000001,0.067000000000000004,0,0.067000000000000004,,2.7999999999999998,5
Bok Choy,11.765000000000001,1.5880000000000001,0.76400000000000001,0.76400000000000001,0.17599999999999999,0,0,0.058999999999999997,0,1,5
Collard Greens,33.158000000000001,2.6840000000000002,1.7889999999999999,0.42099999999999999,0.73699999999999999,0.052999999999999999,0.052999999999999999,0.158,0,4,5
Mustard Greens,26.786000000000001,2.8570000000000002,1.429,1.25,0.35699999999999998,0,0.17899999999999999,0,0,3.214,5
Kale,27.692,1.923,3.6150000000000002,1.23,0.38500000000000001,0.076999999999999999,0,0.23000000000000001,0,2,5
Swiss Chard,20,1.8859999999999999,2,1.0860000000000001,0.057000000000000002,0,0,0.057000000000000002,0,2.1139999999999999,5
Cabbage,22.667000000000002,1.2,3.6000000000000001,2.7999999999999998,0.13400000000000001,0,0,0,0,1.867,5
Cauliflower,22.957000000000001,1.913,1.913,1.913,0.45200000000000001,0.070000000000000007,0.035000000000000003,0.20899999999999999,0,2.2599999999999998,5
Asparagus,22.667000000000002,2.3999999999999999,2.1339999999999999,1.3340000000000001,0.26700000000000002,0,0,0.13400000000000001,0,2,5
Celery Rib,17.895,0.78900000000000003,2.3679999999999999,2.3679999999999999,0.26300000000000001,0,0,0,0,1.579,5
Avocado,160.19900000000001,1.99,1.99,0.64700000000000002,14.428000000000001,2.1389999999999998,9.9499999999999993,1.8400000000000001,0,6.468,5
Broccoli,34.091000000000001,2.7269999999999999,4.0910000000000002,1.8180000000000001,0.45500000000000002,0,0,0,0,2.5,4
Garlic,149.26499999999999,6.3970000000000002,30.956,1.0289999999999999,0.51500000000000001,0.073999999999999996,0,0,0,2.7330000000000001,4
Olives,115.789,0.80000000000000004,2.6320000000000001,0,10.526,2.6320000000000001,7.8949999999999996,0,0,2.6320000000000001,4
Eggplant,34.981999999999999,0.82999999999999996,6.1840000000000002,3.1800000000000002,0.23000000000000001,0.052999999999999999,0.017999999999999999,0.087999999999999995,0,2.4729999999999999,4
Cucumber,14.925000000000001,0.64700000000000002,3.1339999999999999,1.6910000000000001,0.10000000000000001,0.050000000000000003,0,0.050000000000000003,0,0.498,4
Zucchini,15,4.5999999999999996,6.7999999999999998,6.7999999999999998,1.3999999999999999,0.20000000000000001,0.20000000000000001,0.59999999999999998,0,4,4
Summer Squash,19.882999999999999,0.90600000000000003,2.9820000000000002,2.6019999999999999,0.32200000000000001,0.058000000000000003,0.029000000000000001,0.14599999999999999,0,1.4039999999999999,4
Turnips,21.667000000000002,0.66700000000000004,3.0830000000000002,3,0.083000000000000004,0,0,0.083000000000000004,0,2,4
Radishes,15.555999999999999,0,2.2200000000000002,1.1100000000000001,0,0,0,0,0,1.1100000000000001,4
Okra,22.5,1.875,2.375,2.375,0.25,0,0,0,0,2.5,4
Mushrooms,28.334,2.5,2.5,2.5,0.83299999999999996,0,0,0,0,2.5,4
Brussels Sprouts,35.713999999999999,2.5600000000000001,4.524,1.726,0.47599999999999998,0.11899999999999999,0.059999999999999998,0.23799999999999999,0,2.6190000000000002,3
Spaghetti Squash,27.035,0.65800000000000003,5.1150000000000002,2.5049999999999999,0.26100000000000001,0.063,0.021000000000000001,0.125,0,1.357,3
Jicama,38.334000000000003,0.75,4.25,1.8340000000000001,0.083000000000000004,0,0,0.083000000000000004,0,4.9169999999999998,3
Red Bell Pepper,28.07,0.877,5.3490000000000002,4.3860000000000001,0.17499999999999999,0,0,0.087999999999999995,0,1.228,3
Tomato,17.885999999999999,0.89400000000000002,2.6829999999999998,2.6019999999999999,0.24399999999999999,0,0,0.081000000000000003,0,1.22,3
Carrots,34.783000000000001,0.65200000000000002,5.2169999999999996,3.4780000000000002,0.217,0,0,0,0,3.0430000000000001,2
Onions,43.616999999999997,1.383,8.7230000000000008,4.681,0.21299999999999999,0,0,0.106,0,1.383,2
Pumpkin,20,0.73499999999999999,3.7959999999999998,2.0819999999999999,0.082000000000000003,0.041000000000000002,0,0,0,1.1020000000000001,2
Celery Root,27.097000000000001,0.96799999999999997,4.6449999999999996,,0.19400000000000001,,,,0,1.226,2
Rutabaga,37.143000000000001,1.071,6.2859999999999996,4.4290000000000003,0.14299999999999999,0,0,0.070999999999999994,0,2.286,2
Parsnip,71.429000000000002,1.327,13.776,4.7960000000000003,0.30599999999999999,0.10199999999999999,0.10199999999999999,0.10199999999999999,0,3.5710000000000002,2
Potatoes,93.063999999999993,2.4860000000000002,19.190999999999999,1.1559999999999999,0.11600000000000001,0.57799999999999996,0,0.57799999999999996,0,2.1970000000000001,1
Sweet Potatoes,90.350999999999999,2.0179999999999998,17.719000000000001,6.4909999999999997,0.17499999999999999,0.087999999999999995,0,0.087999999999999995,0,3.3330000000000002,1
Butternut Squash,40,0.878,7.5119999999999996,1.9510000000000001,0.098000000000000004,0,0,0.049000000000000002,0,3.2200000000000002,1
Acorn Squash,56.097999999999999,1.1220000000000001,10.244,,0.14599999999999999,0.049000000000000002,0,0.049000000000000002,0,4.3899999999999997,1
Corn,96.117000000000004,3.3980000000000001,18.931999999999999,4.5629999999999997,1.456,0.19400000000000001,0.38800000000000001,0.58299999999999996,0,2.427,1
Beets,44,1.6000000000000001,8,8,0.20000000000000001,0,0,0,0,2,1
Raspberry,53,1.2,5,4.4000000000000004,0.69999999999999996,0,0,0,0,7,3
Strawberries,32.222000000000001,0.66700000000000004,5.6669999999999998,4.8890000000000002,0.33300000000000002,0,0,0.111,0,2,3
Blackberries,43,1.3999999999999999,5,4.9000000000000004,0.5,0,0,0,0,5,3
Lemon,28.571000000000002,1.071,6.4290000000000003,2.5,0.35699999999999998,0,0,0.11899999999999999,0,2.8570000000000002,3
Lime,29.850999999999999,0.746,7.7610000000000001,1.6419999999999999,0.14899999999999999,0,0,0,0,2.8359999999999999,3
Rhubarb,21.568999999999999,0.97999999999999998,2.7450000000000001,1.1759999999999999,0.19600000000000001,0,0,0.19600000000000001,0,1.7649999999999999,3
85% Cocoa Dark Chocolate Bar,640,12,24,12,48,28,,,0,12,2
Melon,33.898000000000003,0.84699999999999998,7.0060000000000002,7.0060000000000002,0.16900000000000001,0.056000000000000001,0,0.056000000000000001,0,0.90400000000000003,2
Honeydew,36.015999999999998,0.53900000000000003,8.2810000000000006,8.125,0.14099999999999999,0.039,0,0.063,0,0.78100000000000003,2
Watermelon,30.07,0.59399999999999997,7.3079999999999998,6.2939999999999996,0.14000000000000001,0.035000000000000003,0.035000000000000003,0.035000000000000003,0,0.38500000000000001,2
Starfruit,30.768999999999998,0.98899999999999999,3.956,3.956,0.33000000000000002,0,0,0.22,0,2.7469999999999999,2
Blueberries,57.027000000000001,0.74299999999999999,12.026999999999999,9.9320000000000004,0.33800000000000002,0,0.068000000000000005,0.13500000000000001,0,2.4319999999999999,1
Peach,38.856999999999999,0.91400000000000003,8.2289999999999992,8.2289999999999992,0.22900000000000001,0,0.057000000000000002,0.057000000000000002,0,1.488,1
Orange,49.286000000000001,0.92900000000000005,10.643000000000001,8.5709999999999997,0.14299999999999999,0,0,0,0,2.214,1
Cherries,62.970999999999997,1.087,14.493,12.826000000000001,0.217,0.071999999999999995,0.071999999999999995,0.071999999999999995,0,2.101,1
Plum,45.454999999999998,0.75700000000000001,10,9.8480000000000008,0.30299999999999999,0,0.151,0,0,1.3640000000000001,1
Pineapple,49.398000000000003,0.60199999999999998,11.807,9.7590000000000003,0.12,0,0,0,0,1.446,1
Mango,60.119,0.83299999999999996,13.273999999999999,13.273999999999999,0.38700000000000001,0.088999999999999996,0.14899999999999999,0.058999999999999997,0,1.607,1
Kiwi,60.869999999999997,1.159,11.449,8.9860000000000007,0.57999999999999996,0,0,0.28999999999999998,0,3.0430000000000001,1
Apple,52.198,0.27500000000000002,11.319000000000001,10.44,0.16500000000000001,0.055,0,0.055,0,2.4180000000000001,1
Pear,56.741999999999997,0.33700000000000002,12.079000000000001,9.5510000000000002,0.16900000000000001,0,0.056000000000000001,0.112,0,3.0899999999999999,1
Grapes,69.388000000000005,0.81599999999999995,17.347000000000001,15.51,0.20399999999999999,0,0,0,0,0.81599999999999995,1
Banana,88.983000000000004,1.1020000000000001,20.254000000000001,11.864000000000001,0.33900000000000002,0.085000000000000006,0,0.085000000000000006,0,2.6269999999999998,1
Raw Sugar,366.66699999999997,0,96.667000000000002,96.667000000000002,0,0,0,0,0,0,1
Honey,304.762,0.47599999999999998,80.951999999999998,80.951999999999998,0,0,0,0,0,0,1
Almonds,592.30799999999999,20.710000000000001,10.058999999999999,4.734,52.070999999999998,4.1420000000000003,33.136000000000003,13.018000000000001,0,10.651,3
Macadamia,728.57100000000003,7.8570000000000002,5.3570000000000002,4.6429999999999998,75,12.143000000000001,60.713999999999999,1.429,,8.5709999999999997,3
Pecans,666.66700000000003,9.2750000000000004,4.6379999999999999,4.0579999999999998,73.332999999999998,6.0869999999999997,40.579999999999998,21.449000000000002,,9.2750000000000004,3
Walnuts,650,15.5,7,2.5,65,6,9,48,,7,3
Chia Seeds,483.33300000000003,16.667000000000002,8.3330000000000002,,30.832999999999998,3.3330000000000002,2.3809999999999998,23.332999999999998,0.11899999999999999,34.167000000000002,3
Flax Seeds,550,19,2,1.6000000000000001,43,3.7999999999999998,7.7999999999999998,30,,28,3
